"persons-name","persons-birth_date","persons-sources","persons-summary","persons-image","persons-name","organizations-name","organizations-classification","posts-label","posts-role","posts-cargonominal","posts-cargotipo","posts-cargoclase","posts-duracioncargo","memberships-label","memberships-role","memberships-cargonominal","memberships-start_date","memberships-end_date","memberships-end_date_accuracy","memberships-start_date_accuracy"
"Raul Horacio Vicchi","","","","","Raul Horacio Vicchi","Mendoza","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1995-11-29","1999-12-15","",""
"Carlos Alberto Vilche","","","","","Carlos Alberto Vilche","Neuquén","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1995-11-29","1999-12-15","",""
"Alfredo Horacio Villalba","","","","","Alfredo Horacio Villalba","Provincia de Buenos Aires","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1995-11-29","1999-12-15","",""
"Horacio Gustavo Viqueira","","","","","Horacio Gustavo Viqueira","Córdoba","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1995-11-29","1999-12-15","",""
"Manuel Yapura Astorga","","","","","Manuel Yapura Astorga","Tucumán","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1995-11-29","1999-12-15","",""
"Marta Elena Zurita","","","","","Marta Elena Zurita","Tucumán","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1995-11-29","1999-12-15","",""
"Miguel Angel Abella","","","","","Miguel Angel Abella","Córdoba","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1997-12-03","2001-12-09","",""
"Angel Leonidas Abasto","","","","","Angel Leonidas Abasto","Provincia de Buenos Aires","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1997-12-03","2001-12-09","",""
"Cesar Alfredo Albrisi","","","","","Cesar Alfredo Albrisi","Córdoba","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1997-12-03","2001-12-09","",""
"Carlos Alberto Alvarez","","","","","Carlos Alberto Alvarez","Ciudad de Buenos Aires","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1997-12-03","2001-12-09","",""
"Alberto Gonzalo Allende","","","","","Alberto Gonzalo Allende","Ciudad de Buenos Aires","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1997-12-03","2001-12-09","",""
"Jorge Eduardo Aubia","","","","","Jorge Eduardo Aubia","Chubut","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1997-12-03","2001-12-09","",""
"Nancy Barbarita Avelin De Ginestar","","","","","Nancy Barbarita Avelin De Ginestar","San Juan","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1997-12-03","2001-12-09","",""
"Juan Carlos Ayala","","","","","Juan Carlos Ayala","Chaco","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1997-12-03","2001-12-09","",""
"Manuel Justo Baladron","","","","","Manuel Justo Baladron","La Pampa","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1997-12-03","2001-12-09","",""
"Rene Helvecio Balestra","","","","","Rene Helvecio Balestra","Santa Fe","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1997-12-03","2001-12-09","",""
"Carlos Mario Balter","","","","","Carlos Mario Balter","Mendoza","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1997-12-03","2001-12-09","",""
"Maria Elena Barbagelata","","","","","Maria Elena Barbagelata","Ciudad de Buenos Aires","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1997-12-03","2001-12-09","",""
"Roberto Rodolfo De Bariazarra","","","","","Roberto Rodolfo De Bariazarra","Río Negro","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1997-12-03","2001-12-09","",""
"Gustavo Osvaldo Béliz","","","","","Gustavo Osvaldo Béliz","Ciudad de Buenos Aires","","Diputado provincial","Diputado provincial","Diputado","Legislativo","Electivo","4","Diputado provincial","Diputado provincial","Diputado","1997-12-10","2001-12-10","year","year"
"Adriana Norma Bevacqua","","","","","Adriana Norma Bevacqua","Entre Ríos","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1997-12-03","2001-12-09","",""
"Miguel Angel Bonino","","","","","Miguel Angel Bonino","San Luis","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1997-12-03","2001-12-09","",""
"Osvaldo Martin Borrelli","","","","","Osvaldo Martin Borrelli","Ciudad de Buenos Aires","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1997-12-03","2001-12-09","",""
"Adalberto Luis Brandoni","","","","","Adalberto Luis Brandoni","Provincia de Buenos Aires","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1997-12-03","2001-12-09","",""
"Ricardo Argentino Bussi","","","","","Ricardo Argentino Bussi","Tucumán","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1997-12-03","2001-12-09","",""
"Mario Alejandro Hilario Cafiero","","","","","Mario Alejandro Hilario Cafiero","Provincia de Buenos Aires","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1997-12-03","2001-12-09","",""
"Graciela Camaño","","","","","Graciela Camaño","Provincia de Buenos Aires","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1997-12-03","2001-12-09","",""
"Eduardo Oscar Camaño","","","","","Eduardo Oscar Camaño","Provincia de Buenos Aires","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1997-12-10","2001-12-10","year","year"
"Dante Mario Antonio Caputo","","","","","Dante Mario Antonio Caputo","Ciudad de Buenos Aires","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1997-12-03","2001-12-09","",""
"Enrique Gustavo Cardesa","","","","","Enrique Gustavo Cardesa","Provincia de Buenos Aires","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1997-12-03","2001-12-09","",""
"Fernando Alfredo Cantero","","","","","Fernando Alfredo Cantero","Ciudad de Buenos Aires","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1997-12-03","2001-12-09","",""
"Alicia Amalia Castro","","","","","Alicia Amalia Castro","Provincia de Buenos Aires","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1997-12-03","2001-12-09","",""
"Domingo Felipe Cavallo","","","","http://www.iprofesional.com/adjuntos/jpg/2011/08/347926.jpg","Domingo Felipe Cavallo","Ciudad de Buenos Aires","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1997-12-03","2001-12-09","",""
"Maria Lelia Chaya","","","","","Maria Lelia Chaya","Salta","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1997-12-03","2001-12-09","",""
"Juan Manuel Casella","","","","","Juan Manuel Casella","Provincia de Buenos Aires","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1997-12-03","2001-12-09","",""
"Aurelia Alicia Colucigno","","","","","Aurelia Alicia Colucigno","Provincia de Buenos Aires","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1997-12-03","2001-12-09","",""
"Maria Teresita Del Valle Colombo De Acevedo","","","","","Maria Teresita Del Valle Colombo De Acevedo","Catamarca","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1997-12-03","2001-12-09","",""
"Jose Manuel Corchuelo Blasco","","","","","Jose Manuel Corchuelo Blasco","Chubut","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1997-12-03","2001-12-09","",""
"Diana Beatriz Conti","","","","","Diana Beatriz Conti","Provincia de Buenos Aires","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1997-12-03","2001-12-09","",""
"Miriam Belen Curletti","","","","","Miriam Belen Curletti","Chaco","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1997-12-03","2001-12-09","",""
"Maria Rita Antonia D'errico","","","","","Maria Rita Antonia D'errico","Provincia de Buenos Aires","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1997-12-03","2001-12-09","",""
"Julio de Vido","","","","","Julio de Vido","Santa Cruz","Provincia","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1997-12-10","1999-12-10","year","year"
"Andrés Guillermo Delich","","","","","Andrés Guillermo Delich","Ciudad de Buenos Aires","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1997-12-03","2001-12-09","",""
"Maria Rita Drisaldi","","","","","Maria Rita Drisaldi","Santa Cruz","Provincia","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1997-12-03","2001-12-09","",""
"Luis Maria Diaz Colodrero","","","","","Luis Maria Diaz Colodrero","Corrientes","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1997-12-03","2001-12-09","",""
"Jose Gabriel Dumón","","","","","Jose Gabriel Dumón","Provincia de Buenos Aires","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1997-12-03","2001-12-09","",""
"Arturo Roosevelt Etchevehere","","","","","Arturo Roosevelt Etchevehere","Entre Ríos","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1997-12-03","2001-12-09","",""
"Barbara Ines Espinola","","","","","Barbara Ines Espinola","Provincia de Buenos Aires","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1997-12-03","2001-12-09","",""
"Victor Manuel Federico Fayad","","","","","Victor Manuel Federico Fayad","Mendoza","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1997-12-03","2001-12-09","",""
"Juan Carlos Farizano Codazzi","","","","","Juan Carlos Farizano Codazzi","Ciudad de Buenos Aires","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1997-12-03","2001-12-09","",""
"Pablo Damian Fernández","","","","","Pablo Damian Fernández","La Pampa","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1997-12-03","2001-12-09","",""
"Graciela Castagnola Fernandez Meijide","","","","","Graciela Castagnola Fernandez Meijide","Provincia de Buenos Aires","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1997-12-03","2001-12-09","",""
"Cristina Fernández","","","","http://upload.wikimedia.org/wikipedia/commons/thumb/2/22/Cristinakirchnermensaje2010.jpg/220px-Cristinakirchnermensaje2010.jpg","Cristina Fernández","Santa Cruz","Provincia","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1997-12-03","2001-12-09","",""
"Rafael Horacio Flores","","","","","Rafael Horacio Flores","Santa Cruz","Provincia","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1997-12-03","2001-12-09","",""
"Mario Felix Ferreyra","","","","","Mario Felix Ferreyra","Tierra del Fuego","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1997-12-03","2001-12-09","",""
"Isabel Emilia Foco","","","","","Isabel Emilia Foco","Neuquén","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1997-12-03","2001-12-09","",""
"Jorge Oscar Folloni","","","","","Jorge Oscar Folloni","Salta","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1997-12-03","2001-12-09","",""
"Zulema Beatriz Fontanetto","","","","","Zulema Beatriz Fontanetto","Santa Fe","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1997-12-03","2001-12-09","",""
"Rodolfo Anibal Frigeri","","","","","Rodolfo Anibal Frigeri","Provincia de Buenos Aires","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1997-12-03","2001-12-09","",""
"Guillermo Alberto Francos","","","","","Guillermo Alberto Francos","Ciudad de Buenos Aires","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1997-12-03","2001-12-09","",""
"Teodoro Roberto Funes","","","","","Teodoro Roberto Funes","Córdoba","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1997-12-03","2001-12-09","",""
"Gustavo Carlos Galland","","","","","Gustavo Carlos Galland","Provincia de Buenos Aires","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1997-12-03","2001-12-09","",""
"Francisco Alberto García","","","","","Francisco Alberto García","Mendoza","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1997-12-03","2001-12-09","",""
"Raul Edgardo Gallego","","","","","Raul Edgardo Gallego","Santiago del Estero","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1997-12-03","2001-12-09","",""
"Maria Isabel Garcia De Cano","","","","","Maria Isabel Garcia De Cano","Entre Ríos","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1997-12-03","2001-12-09","",""
"Ruben Hector Giustiniani","","","","","Ruben Hector Giustiniani","Santa Fe","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1997-12-03","2001-12-09","",""
"Guillermo Jorge Giles","","","","","Guillermo Jorge Giles","Provincia de Buenos Aires","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1997-12-03","2001-12-09","",""
"Nilda Mabel Gomez De Marelli","","","","","Nilda Mabel Gomez De Marelli","Misiones","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1997-12-03","2001-12-09","",""
"Juan Miguel Gariglio","","","","","Juan Miguel Gariglio","Santa Fe","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1997-12-03","2001-12-09","",""
"Oscar Felix González","","","","","Oscar Felix González","Córdoba","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1997-12-03","2001-12-09","",""
"Maria America González","","","","","Maria America González","Ciudad de Buenos Aires","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1997-12-03","2001-12-09","",""
"Hilda González","","","","","Hilda González","Provincia de Buenos Aires","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1997-12-10","2001-12-10","year","year"
"Hilda Beatriz Gonzalez De Duhalde","","","","","Hilda Beatriz Gonzalez De Duhalde","Provincia de Buenos Aires","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1997-12-03","2001-12-09","",""
"Jose Armando Gonzalez Cabañas","","","","","Jose Armando Gonzalez Cabañas","Corrientes","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1997-12-03","2001-12-09","",""
"Liliana Gonzalez Vital De Lissi","","","","","Liliana Gonzalez Vital De Lissi","Santa Fe","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1997-12-03","2001-12-09","",""
"Diego Rodolfo Gorvein","","","","","Diego Rodolfo Gorvein","Formosa","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1997-12-03","2001-12-09","",""
"Cristina Rosalia Guevara","","","","","Cristina Rosalia Guevara","Ciudad de Buenos Aires","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1997-12-03","2001-12-09","",""
"Graciela Ester Inda","","","","","Graciela Ester Inda","Ciudad de Buenos Aires","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1997-12-03","2001-12-09","",""
"Enzo Thelismar Herrera Paez","","","","","Enzo Thelismar Herrera Paez","La Rioja","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1997-12-03","2001-12-09","",""
"Mercedes Marina Aragones De Juarez","","","","","Mercedes Marina Aragones De Juarez","Santiago del Estero","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1997-12-03","2001-12-09","",""
"Amado Nicomedes Juri","","","","","Amado Nicomedes Juri","Tucumán","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1997-12-03","2000-10-14","",""
"Maria Del Pilar Isabel Kent De Saadi","","","","","Maria Del Pilar Isabel Kent De Saadi","Catamarca","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1997-12-03","2001-12-09","",""
"Oscar Santiago Lamberto","","","","","Oscar Santiago Lamberto","Santa Fe","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1997-12-03","2001-12-09","",""
"José Luis Lanza","","","","","José Luis Lanza","Ciudad de Buenos Aires","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1997-12-03","2001-12-09","",""
"Roxana Itati Latorre","","","","","Roxana Itati Latorre","Santa Fe","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1997-12-03","2001-12-09","",""
"Damaso Larraburu","","","","","Damaso Larraburu","Provincia de Buenos Aires","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1997-12-03","2001-12-09","",""
"Beatriz Mercedes Leyba De Marti","","","","","Beatriz Mercedes Leyba De Marti","Córdoba","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1997-12-03","2001-12-09","",""
"Ernesto Adrian Lffler","","","","","Ernesto Adrian Lffler","Tierra del Fuego","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1997-12-03","2001-12-09","",""
"Maria Del Carmen Linares","","","","","Maria Del Carmen Linares","Chubut","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1997-12-03","2001-12-09","",""
"Fernando Elias Llamosas","","","","","Fernando Elias Llamosas","Misiones","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1997-12-03","2001-12-09","",""
"Marcelo Eduardo Lopez Arias","","","","","Marcelo Eduardo Lopez Arias","Salta","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1997-12-03","2001-12-09","",""
"Luis Bernardo Lusquiños","","","","","Luis Bernardo Lusquiños","San Luis","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1997-12-03","2001-12-09","",""
"Juan Manuel Urtubey","","","","","Juan Manuel Urtubey","Salta","","Diputado provincial","Diputado provincial","Diputado","Legislativo","Electivo","4","Diputado provincial","Diputado provincial","Diputado","1997-12-10","1999-12-10","year","year"
"Mabel Gladis Manzotti","","","","","Mabel Gladis Manzotti","Provincia de Buenos Aires","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1997-12-03","2001-12-09","",""
"Manuel Luis Martínez","","","","","Manuel Luis Martínez","Provincia de Buenos Aires","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1997-12-03","2001-12-09","",""
"Silvia Virginia Martínez","","","","","Silvia Virginia Martínez","Provincia de Buenos Aires","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1997-12-03","2001-12-09","",""
"Enrique Mario Martínez","","","","","Enrique Mario Martínez","Ciudad de Buenos Aires","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1997-12-03","2001-12-09","",""
"Gerardo Alberto Martínez","","","","","Gerardo Alberto Martínez","Provincia de Buenos Aires","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1997-12-03","2001-12-09","",""
"Emilio Raul Martinez Garbino","","","","","Emilio Raul Martinez Garbino","Entre Ríos","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1997-12-03","2001-12-09","",""
"Hector Santiago Mazzei","","","","","Hector Santiago Mazzei","Provincia de Buenos Aires","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1997-12-03","2001-12-09","",""
"Oscar Ermelindo Massei","","","","","Oscar Ermelindo Massei","Neuquén","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1997-12-03","2001-12-09","",""
"Maria Susana Mayans","","","","","Maria Susana Mayans","Jujuy","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1997-12-03","2001-12-09","",""
"Maria Celestina Merlo De Ruiz","","","","","Maria Celestina Merlo De Ruiz","San Luis","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1997-12-03","2001-12-09","",""
"Catalina Mendez De Medina Lareu","","","","","Catalina Mendez De Medina Lareu","Corrientes","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1997-12-03","2001-12-09","",""
"Norma Amelia Miralles De Romero","","","","","Norma Amelia Miralles De Romero","Neuquén","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1997-12-03","2001-12-09","",""
"Fernando Ramon Montoya","","","","","Fernando Ramon Montoya","Córdoba","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1997-12-03","2001-12-09","",""
"Arturo Jorge Moreno Ramirez","","","","","Arturo Jorge Moreno Ramirez","San Juan","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1997-12-03","2001-12-09","",""
"Ana Maria Mosso","","","","","Ana Maria Mosso","Mendoza","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1997-12-03","2001-12-09","",""
"Javier Mouriño","","","","","Javier Mouriño","Ciudad de Buenos Aires","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1997-12-03","2001-12-09","",""
"Mario Raul Negri","","","","","Mario Raul Negri","Córdoba","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1997-12-03","2001-12-09","",""
"Alfredo Neme Scheij","","","","","Alfredo Neme Scheij","Tucumán","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1997-12-03","2001-12-09","",""
"Norberto Reynaldo Nicotra","","","","","Norberto Reynaldo Nicotra","Santa Fe","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1997-12-03","2001-12-09","",""
"Mario Alejandro Nieva","","","","","Mario Alejandro Nieva","Jujuy","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1997-12-03","2001-12-09","",""
"Jorge Alberto Orozco","","","","","Jorge Alberto Orozco","Provincia de Buenos Aires","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1997-12-03","2001-12-09","",""
"Marta Isabel Ortega","","","","","Marta Isabel Ortega","Córdoba","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1997-12-03","2001-12-09","",""
"Rafael Manuel Pascual","","","","","Rafael Manuel Pascual","Ciudad de Buenos Aires","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1997-12-03","2001-12-09","",""
"Juan Carlos Passo","","","","","Juan Carlos Passo","La Pampa","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1997-12-03","2001-12-09","",""
"Jorge Telmo Perez","","","","","Jorge Telmo Perez","Provincia de Buenos Aires","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1997-12-03","2001-12-09","",""
"Horacio Francisco Pernasetti","","","","","Horacio Francisco Pernasetti","Catamarca","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1997-12-03","2001-12-09","",""
"Alejandro Apolinario Peyrou","","","","","Alejandro Apolinario Peyrou","Provincia de Buenos Aires","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1997-12-03","2001-12-09","",""
"Miguel Angel Pichetto","","","","","Miguel Angel Pichetto","Río Negro","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1997-12-03","2001-12-09","",""
"Alberto Reinaldo Pierri","","","","","Alberto Reinaldo Pierri","Provincia de Buenos Aires","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1997-12-03","2001-12-09","",""
"Delia Norma Pinchetti De Sierra Morales","","","","","Delia Norma Pinchetti De Sierra Morales","Tucumán","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1997-12-03","2001-12-09","",""
"Juan Domingo Pinto Bruchmann","","","","","Juan Domingo Pinto Bruchmann","Santiago del Estero","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1997-12-03","2001-12-09","",""
"Hector Teodoro Polino","","","","","Hector Teodoro Polino","Ciudad de Buenos Aires","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1997-12-03","2001-12-09","",""
"Adriana Victoria Puiggros","","","","","Adriana Victoria Puiggros","Ciudad de Buenos Aires","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1997-12-03","2001-12-09","",""
"Ricardo Clemente Quintela","","","","","Ricardo Clemente Quintela","La Rioja","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1997-12-03","2001-12-09","",""
"Bernardo Pascual Quinzio","","","","","Bernardo Pascual Quinzio","San Luis","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1997-12-03","2001-12-09","",""
"Jose Antonio Recio","","","","","Jose Antonio Recio","Provincia de Buenos Aires","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1997-12-03","2001-12-09","",""
"Jorge Luis Remes Lenicov","","","","","Jorge Luis Remes Lenicov","Provincia de Buenos Aires","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1997-12-03","2001-12-09","",""
"Jorge Rivas","","","","","Jorge Rivas","Provincia de Buenos Aires","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1997-12-03","2001-12-09","",""
"Edmundo Robles Avalos","","","","","Edmundo Robles Avalos","Tucumán","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1997-12-03","2001-12-09","",""
"Humberto Jesus Roggero","","","","","Humberto Jesus Roggero","Córdoba","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","1997-12-03","2001-12-09","",""
